location,date,total_cases,new_cases
Afghanistan,2023-05-17,218739,0
Africa,2023-05-17,13088051,0
Albania,2023-05-17,334090,0
Algeria,2023-05-17,271813,0
American Samoa,2023-05-17,8331,0
Andorra,2023-05-17,48015,0
Angola,2023-05-17,105681,0
Anguilla,2023-05-17,3904,0
Antigua and Barbuda,2023-05-17,9106,0
Argentina,2023-05-17,10044957,0
Armenia,2023-05-17,449148,0
Aruba,2023-05-17,44180,0
Asia,2023-05-17,297011832,0
Australia,2023-05-17,11327113,0
Austria,2023-05-17,6071914,0
Azerbaijan,2023-05-17,831648,0
Bahamas,2023-05-17,38084,0
Bahrain,2023-05-17,696614,0
Bangladesh,2023-05-17,2038478,0
Barbados,2023-05-17,107794,0
Belarus,2023-05-17,994037,0
Belgium,2023-05-17,4798176,0
Belize,2023-05-17,70782,0
Benin,2023-05-17,28014,0
Bermuda,2023-05-17,18860,0
Bhutan,2023-05-17,62668,0
Bolivia,2023-05-17,1197983,0
Bonaire Sint Eustatius and Saba,2023-05-17,11909,0
Bosnia and Herzegovina,2023-05-17,402927,0
Botswana,2023-05-17,329862,0
Brazil,2023-05-17,37511921,0
British Virgin Islands,2023-05-17,7305,0
Brunei,2023-05-17,299505,0
Bulgaria,2023-05-17,1295312,0
Burkina Faso,2023-05-17,22056,0
Burundi,2023-05-17,53749,0
Cambodia,2023-05-17,138736,0
Cameroon,2023-05-17,125036,0
Canada,2023-05-17,4670563,0
Cape Verde,2023-05-17,63741,0
Cayman Islands,2023-05-17,31472,0
Central African Republic,2023-05-17,15367,0
Chad,2023-05-17,7698,0
Chile,2023-05-17,5286098,0
China,2023-05-17,99255557,0
Colombia,2023-05-17,6365994,0
Comoros,2023-05-17,9109,0
Congo,2023-05-17,25194,0
Cook Islands,2023-05-17,7079,0
Costa Rica,2023-05-17,1230552,0
Cote d'Ivoire,2023-05-17,88329,0
Croatia,2023-05-17,1273256,0
Cuba,2023-05-17,1113594,0
Curacao,2023-05-17,45812,0
Cyprus,2023-05-17,660854,0
Czechia,2023-05-17,4641422,0
Democratic Republic of Congo,2023-05-17,96652,0
Denmark,2023-05-17,3412926,0
Djibouti,2023-05-17,15690,0
Dominica,2023-05-17,15760,0
Dominican Republic,2023-05-17,661103,0
East Timor,2023-05-17,23442,0
Ecuador,2023-05-17,1062275,0
Egypt,2023-05-17,516023,0
El Salvador,2023-05-17,201785,0
Equatorial Guinea,2023-05-17,17130,0
Eritrea,2023-05-17,10189,0
Estonia,2023-05-17,600928,0
Eswatini,2023-05-17,74728,0
Ethiopia,2023-05-17,500868,0
Europe,2023-05-17,248546077,0
European Union (27),2023-05-17,183366390,0
Falkland Islands,2023-05-17,1923,0
Faroe Islands,2023-05-17,34658,0
Fiji,2023-05-17,68921,0
Finland,2023-05-17,1479169,0
France,2023-05-17,38898196,0
French Guiana,2023-05-17,98041,0
French Polynesia,2023-05-17,78545,0
Gabon,2023-05-17,48992,0
Gambia,2023-05-17,12626,0
Georgia,2023-05-17,1842425,0
Germany,2023-05-17,38419325,0
Ghana,2023-05-17,171653,0
Gibraltar,2023-05-17,20550,0
Greece,2023-05-17,5310882,0
Greenland,2023-05-17,11971,0
Grenada,2023-05-17,19693,0
Guadeloupe,2023-05-17,202653,0
Guam,2023-05-17,51345,0
Guatemala,2023-05-17,1250268,0
Guernsey,2023-05-17,35326,0
Guinea,2023-05-17,38563,0
Guinea-Bissau,2023-05-17,9614,0
Guyana,2023-05-17,73207,0
Haiti,2023-05-17,34228,0
High-income countries,2023-05-17,421143471,0
Honduras,2023-05-17,472594,0
