location,date,total_cases,new_cases
Hungary,2023-05-17,2202179,0
Iceland,2023-05-17,208630,0
India,2023-05-17,44980674,0
Indonesia,2023-05-17,6797336,0
Iran,2023-05-17,7610676,0
Iraq,2023-05-17,2465545,0
Ireland,2023-05-17,1711519,0
Isle of Man,2023-05-17,38008,0
Israel,2023-05-17,4824518,0
Italy,2023-05-17,25832513,0
Jamaica,2023-05-17,154874,0
Japan,2023-05-17,33803572,0
Jersey,2023-05-17,66391,0
Jordan,2023-05-17,1746997,0
Kazakhstan,2023-05-17,1502857,0
Kenya,2023-05-17,343074,0
Kiribati,2023-05-17,5025,0
Kosovo,2023-05-17,273878,0
Kuwait,2023-05-17,665885,0
Kyrgyzstan,2023-05-17,88777,0
Laos,2023-05-17,218098,0
Latvia,2023-05-17,975392,0
Lebanon,2023-05-17,1237556,0
Lesotho,2023-05-17,34490,0
Liberia,2023-05-17,8090,0
Libya,2023-05-17,507253,0
Liechtenstein,2023-05-17,21468,0
Lithuania,2023-05-17,1319483,0
Low-income countries,2023-05-17,1918914,0
Lower-middle-income countries,2023-05-17,91711728,0
Luxembourg,2023-05-17,382451,0
Madagascar,2023-05-17,68266,0
Malawi,2023-05-17,88638,0
Malaysia,2023-05-17,5079436,0
Maldives,2023-05-17,186589,0
Mali,2023-05-17,33147,0
Malta,2023-05-17,118620,0
Marshall Islands,2023-05-17,16081,0
Martinique,2023-05-17,229900,0
Mauritania,2023-05-17,63663,0
Mauritius,2023-05-17,304233,0
Mayotte,2023-05-17,42027,0
Mexico,2023-05-17,7608416,0
Micronesia (country),2023-05-17,26453,0
Moldova,2023-05-17,620519,0
Monaco,2023-05-17,16775,0
Mongolia,2023-05-17,1008265,0
Montenegro,2023-05-17,251194,0
Montserrat,2023-05-17,1403,0
Morocco,2023-05-17,1274180,0
Mozambique,2023-05-17,233417,0
Myanmar,2023-05-17,637249,0
Namibia,2023-05-17,171310,0
Nauru,2023-05-17,5393,0
Nepal,2023-05-17,1003222,0
Netherlands,2023-05-17,8614918,0
New Caledonia,2023-05-17,80058,0
New Zealand,2023-05-17,2272229,0
Nicaragua,2023-05-17,15713,0
Niger,2023-05-17,9513,0
Nigeria,2023-05-17,266675,0
Niue,2023-05-17,801,0
North America,2023-05-17,124296338,0
North Korea,2023-05-17,0,0
North Macedonia,2023-05-17,348294,0
Northern Mariana Islands,2023-05-17,13896,0
Norway,2023-05-17,1484471,0
Oceania,2023-05-17,14087556,0
Oman,2023-05-17,399449,0
Pakistan,2023-05-17,1580631,0
Palau,2023-05-17,6000,0
Palestine,2023-05-17,703228,0
Panama,2023-05-17,1037978,0
Papua New Guinea,2023-05-17,46864,0
Paraguay,2023-05-17,735759,0
Peru,2023-05-17,4505220,0
Philippines,2023-05-17,4113093,0
Pitcairn,2023-05-17,4,0
Poland,2023-05-17,6515619,0
Portugal,2023-05-17,5582122,0
Puerto Rico,2023-05-17,1235650,0
Qatar,2023-05-17,510979,0
Reunion,2023-05-17,494595,0
Romania,2023-05-17,3399977,0
Russia,2023-05-17,22898376,0
Rwanda,2023-05-17,133194,0
Saint Barthelemy,2023-05-17,5486,0
Saint Helena,2023-05-17,2166,0
Saint Kitts and Nevis,2023-05-17,6600,0
Saint Lucia,2023-05-17,30052,0
Saint Martin (French part),2023-05-17,12300,0
Saint Pierre and Miquelon,2023-05-17,3426,0
Saint Vincent and the Grenadines,2023-05-17,9631,0
Samoa,2023-05-17,16763,0
San Marino,2023-05-17,24245,0
Sao Tome and Principe,2023-05-17,6575,0
Saudi Arabia,2023-05-17,841469,0
Senegal,2023-05-17,88998,0
Serbia,2023-05-17,2538544,0
Seychelles,2023-05-17,50937,0
Sierra Leone,2023-05-17,7762,0
Singapore,2023-05-17,2414394,0
Sint Maarten (Dutch part),2023-05-17,11030,0
Slovakia,2023-05-17,1866647,0
Slovenia,2023-05-17,1343897,0
Solomon Islands,2023-05-17,21611,0
Somalia,2023-05-17,27334,0
South Africa,2023-05-17,4072533,0
South America,2023-05-17,68556461,0
South Korea,2023-05-17,31408102,0
South Sudan,2023-05-17,18368,0
Spain,2023-05-17,13930576,0
Sri Lanka,2023-05-17,672283,0
Sudan,2023-05-17,63993,0
Suriname,2023-05-17,82495,0
Sweden,2023-05-17,2708117,0
Switzerland,2023-05-17,4404342,0
Syria,2023-05-17,57423,0
Tajikistan,2023-05-17,17786,0
Tanzania,2023-05-17,43078,0
Thailand,2023-05-17,4736356,0
Togo,2023-05-17,39491,0
Tokelau,2023-05-17,5,0
Tonga,2023-05-17,16817,0
Trinidad and Tobago,2023-05-17,191496,0
Tunisia,2023-05-17,1153063,0
Turkey,2023-05-17,17004677,0
Turkmenistan,2023-05-17,0,0
Turks and Caicos Islands,2023-05-17,6588,0
Tuvalu,2023-05-17,2779,0
Uganda,2023-05-17,170775,0
Ukraine,2023-05-17,5507443,0
United Arab Emirates,2023-05-17,1065607,0
United Kingdom,2023-05-17,24607480,0
United States,2023-05-17,103436829,0
United States Virgin Islands,2023-05-17,24994,0
Upper-middle-income countries,2023-05-17,249643737,0
Uruguay,2023-05-17,1037893,0
Uzbekistan,2023-05-17,170631,0
Vanuatu,2023-05-17,12016,0
Vatican,2023-05-17,26,0
Venezuela,2023-05-17,552695,0
Vietnam,2023-05-17,11589567,0
Wallis and Futuna,2023-05-17,3427,0
World,2023-05-17,765586315,0
Yemen,2023-05-17,11945,0
Zambia,2023-05-17,343995,0
Zimbabwe,2023-05-17,264841,0
Afghanistan,2023-05-16,218739,0
Africa,2023-05-16,13088051,0
Albania,2023-05-16,334090,0
Algeria,2023-05-16,271813,0
American Samoa,2023-05-16,8331,0
Andorra,2023-05-16,48015,0
Angola,2023-05-16,105681,0
Anguilla,2023-05-16,3904,0
Antigua and Barbuda,2023-05-16,9106,0
Argentina,2023-05-16,10044957,0
Armenia,2023-05-16,449148,0
Aruba,2023-05-16,44180,0
Asia,2023-05-16,297011832,0
Australia,2023-05-16,11327113,0
Austria,2023-05-16,6071914,0
Azerbaijan,2023-05-16,831648,0
Bahamas,2023-05-16,38084,0
Bahrain,2023-05-16,696614,0
Bangladesh,2023-05-16,2038478,0
Barbados,2023-05-16,107794,0
Belarus,2023-05-16,994037,0
Belgium,2023-05-16,4798176,0
Belize,2023-05-16,70782,0
Benin,2023-05-16,28014,0
Bermuda,2023-05-16,18860,0
Bhutan,2023-05-16,62668,0
Bolivia,2023-05-16,1197983,0
Bonaire Sint Eustatius and Saba,2023-05-16,11909,0
Bosnia and Herzegovina,2023-05-16,402927,0
Botswana,2023-05-16,329862,0
Brazil,2023-05-16,37511921,0
British Virgin Islands,2023-05-16,7305,0
Brunei,2023-05-16,299505,0
Bulgaria,2023-05-16,1295312,0
Burkina Faso,2023-05-16,22056,0
Burundi,2023-05-16,53749,0
Cambodia,2023-05-16,138736,0
Cameroon,2023-05-16,125036,0
Canada,2023-05-16,4670563,0
Cape Verde,2023-05-16,63741,0
Cayman Islands,2023-05-16,31472,0
Central African Republic,2023-05-16,15367,0
Chad,2023-05-16,7698,0
Chile,2023-05-16,5286098,0
China,2023-05-16,99255557,0
Colombia,2023-05-16,6365994,0
Comoros,2023-05-16,9109,0
Congo,2023-05-16,25194,0
Cook Islands,2023-05-16,7079,0
Costa Rica,2023-05-16,1230552,0
Cote d'Ivoire,2023-05-16,88329,0
Croatia,2023-05-16,1273256,0
Cuba,2023-05-16,1113594,0
Curacao,2023-05-16,45812,0
Cyprus,2023-05-16,660854,0
Czechia,2023-05-16,4641422,0
Democratic Republic of Congo,2023-05-16,96652,0
Denmark,2023-05-16,3412926,0
Djibouti,2023-05-16,15690,0
Dominica,2023-05-16,15760,0
Dominican Republic,2023-05-16,661103,0
East Timor,2023-05-16,23442,0
Ecuador,2023-05-16,1062275,0
Egypt,2023-05-16,516023,0
El Salvador,2023-05-16,201785,0
Equatorial Guinea,2023-05-16,17130,0
Eritrea,2023-05-16,10189,0
Estonia,2023-05-16,600928,0
Eswatini,2023-05-16,74728,0
Ethiopia,2023-05-16,500868,0
Europe,2023-05-16,248546077,0
European Union (27),2023-05-16,183366390,0
Falkland Islands,2023-05-16,1923,0
Faroe Islands,2023-05-16,34658,0
Fiji,2023-05-16,68921,0
Finland,2023-05-16,1479169,0
France,2023-05-16,38898196,0
French Guiana,2023-05-16,98041,0
French Polynesia,2023-05-16,78545,0
Gabon,2023-05-16,48992,0
Gambia,2023-05-16,12626,0
Georgia,2023-05-16,1842425,0
Germany,2023-05-16,38419325,0
Ghana,2023-05-16,171653,0
Gibraltar,2023-05-16,20550,0
Greece,2023-05-16,5310882,0
Greenland,2023-05-16,11971,0
Grenada,2023-05-16,19693,0
Guadeloupe,2023-05-16,202653,0
Guam,2023-05-16,51345,0
Guatemala,2023-05-16,1250268,0
Guernsey,2023-05-16,35326,0
Guinea,2023-05-16,38563,0
Guinea-Bissau,2023-05-16,9614,0
Guyana,2023-05-16,73207,0
Haiti,2023-05-16,34228,0
High-income countries,2023-05-16,421143471,0
Honduras,2023-05-16,472594,0
Hungary,2023-05-16,2202179,0
Iceland,2023-05-16,208630,0
India,2023-05-16,44980674,0
Indonesia,2023-05-16,6797336,0
Iran,2023-05-16,7610676,0
Iraq,2023-05-16,2465545,0
Ireland,2023-05-16,1711519,0
Isle of Man,2023-05-16,38008,0
Israel,2023-05-16,4824518,0
Italy,2023-05-16,25832513,0
Jamaica,2023-05-16,154874,0
Japan,2023-05-16,33803572,0
Jersey,2023-05-16,66391,0
Jordan,2023-05-16,1746997,0
Kazakhstan,2023-05-16,1502857,0
Kenya,2023-05-16,343074,0
Kiribati,2023-05-16,5025,0
Kosovo,2023-05-16,273878,0
Kuwait,2023-05-16,665885,0
Kyrgyzstan,2023-05-16,88777,0
Laos,2023-05-16,218098,0
Latvia,2023-05-16,975392,0
Lebanon,2023-05-16,1237556,0
Lesotho,2023-05-16,34490,0
Liberia,2023-05-16,8090,0
Libya,2023-05-16,507253,0
Liechtenstein,2023-05-16,21468,0
Lithuania,2023-05-16,1319483,0
Low-income countries,2023-05-16,1918914,0
Lower-middle-income countries,2023-05-16,91711728,0
Luxembourg,2023-05-16,382451,0
Madagascar,2023-05-16,68266,0
Malawi,2023-05-16,88638,0
Malaysia,2023-05-16,5079436,0
Maldives,2023-05-16,186589,0
Mali,2023-05-16,33147,0
Malta,2023-05-16,118620,0
Marshall Islands,2023-05-16,16081,0
Martinique,2023-05-16,229900,0
Mauritania,2023-05-16,63663,0
Mauritius,2023-05-16,304233,0
Mayotte,2023-05-16,42027,0
Mexico,2023-05-16,7608416,0
Micronesia (country),2023-05-16,26453,0
Moldova,2023-05-16,620519,0
Monaco,2023-05-16,16775,0
Mongolia,2023-05-16,1008265,0
Montenegro,2023-05-16,251194,0
Montserrat,2023-05-16,1403,0
Morocco,2023-05-16,1274180,0
Mozambique,2023-05-16,233417,0
Myanmar,2023-05-16,637249,0
Namibia,2023-05-16,171310,0
Nauru,2023-05-16,5393,0
Nepal,2023-05-16,1003222,0
Netherlands,2023-05-16,8614918,0
New Caledonia,2023-05-16,80058,0
New Zealand,2023-05-16,2272229,0
Nicaragua,2023-05-16,15713,0
Niger,2023-05-16,9513,0
Nigeria,2023-05-16,266675,0
Niue,2023-05-16,801,0
North America,2023-05-16,124296338,0
North Korea,2023-05-16,0,0
North Macedonia,2023-05-16,348294,0
Northern Mariana Islands,2023-05-16,13896,0
Norway,2023-05-16,1484471,0
Oceania,2023-05-16,14087556,0
Oman,2023-05-16,399449,0
Pakistan,2023-05-16,1580631,0
Palau,2023-05-16,6000,0
Palestine,2023-05-16,703228,0
Panama,2023-05-16,1037978,0
Papua New Guinea,2023-05-16,46864,0
Paraguay,2023-05-16,735759,0
Peru,2023-05-16,4505220,0
Philippines,2023-05-16,4113093,0
Pitcairn,2023-05-16,4,0
Poland,2023-05-16,6515619,0
Portugal,2023-05-16,5582122,0
Puerto Rico,2023-05-16,1235650,0
Qatar,2023-05-16,510979,0
Reunion,2023-05-16,494595,0
Romania,2023-05-16,3399977,0
Russia,2023-05-16,22898376,0
Rwanda,2023-05-16,133194,0
Saint Barthelemy,2023-05-16,5486,0
Saint Helena,2023-05-16,2166,0
Saint Kitts and Nevis,2023-05-16,6600,0
Saint Lucia,2023-05-16,30052,0
Saint Martin (French part),2023-05-16,12300,0
Saint Pierre and Miquelon,2023-05-16,3426,0
Saint Vincent and the Grenadines,2023-05-16,9631,0
Samoa,2023-05-16,16763,0
San Marino,2023-05-16,24245,0
Sao Tome and Principe,2023-05-16,6575,0
Saudi Arabia,2023-05-16,841469,0
Senegal,2023-05-16,88998,0
Serbia,2023-05-16,2538544,0
Seychelles,2023-05-16,50937,0
Sierra Leone,2023-05-16,7762,0
Singapore,2023-05-16,2414394,0
Sint Maarten (Dutch part),2023-05-16,11030,0
Slovakia,2023-05-16,1866647,0
Slovenia,2023-05-16,1343897,0
Solomon Islands,2023-05-16,21611,0
Somalia,2023-05-16,27334,0
South Africa,2023-05-16,4072533,0
South America,2023-05-16,68556461,0
South Korea,2023-05-16,31408102,0
South Sudan,2023-05-16,18368,0
Spain,2023-05-16,13930576,0
Sri Lanka,2023-05-16,672283,0
Sudan,2023-05-16,63993,0
Suriname,2023-05-16,82495,0
Sweden,2023-05-16,2708117,0
Switzerland,2023-05-16,4404342,0
Syria,2023-05-16,57423,0
Tajikistan,2023-05-16,17786,0
Tanzania,2023-05-16,43078,0
Thailand,2023-05-16,4736356,0
Togo,2023-05-16,39491,0
Tokelau,2023-05-16,5,0
Tonga,2023-05-16,16817,0
Trinidad and Tobago,2023-05-16,191496,0
Tunisia,2023-05-16,1153063,0
Turkey,2023-05-16,17004677,0
Turkmenistan,2023-05-16,0,0
Turks and Caicos Islands,2023-05-16,6588,0
Tuvalu,2023-05-16,2779,0
Uganda,2023-05-16,170775,0
Ukraine,2023-05-16,5507443,0
United Arab Emirates,2023-05-16,1065607,0
United Kingdom,2023-05-16,24607480,0
United States,2023-05-16,103436829,0
United States Virgin Islands,2023-05-16,24994,0
Upper-middle-income countries,2023-05-16,249643737,0
Uruguay,2023-05-16,1037893,0
Uzbekistan,2023-05-16,170631,0
Vanuatu,2023-05-16,12016,0
Vatican,2023-05-16,26,0
Venezuela,2023-05-16,552695,0
Vietnam,2023-05-16,11589567,0
Wallis and Futuna,2023-05-16,3427,0
World,2023-05-16,765586315,0
Yemen,2023-05-16,11945,0
Zambia,2023-05-16,343995,0
Zimbabwe,2023-05-16,264841,0
Afghanistan,2023-05-15,218739,0
Africa,2023-05-15,13088051,0
Albania,2023-05-15,334090,0
Algeria,2023-05-15,271813,0
American Samoa,2023-05-15,8331,0
Andorra,2023-05-15,48015,0
Angola,2023-05-15,105681,0
Anguilla,2023-05-15,3904,0
Antigua and Barbuda,2023-05-15,9106,0
Argentina,2023-05-15,10044957,0
Armenia,2023-05-15,449148,0
Aruba,2023-05-15,44180,0
Asia,2023-05-15,297011832,0
Australia,2023-05-15,11327113,0
Austria,2023-05-15,6071914,0
Azerbaijan,2023-05-15,831648,0
Bahamas,2023-05-15,38084,0
Bahrain,2023-05-15,696614,0
Bangladesh,2023-05-15,2038478,0
Barbados,2023-05-15,107794,0
Belarus,2023-05-15,994037,0
Belgium,2023-05-15,4798176,0
Belize,2023-05-15,70782,0
Benin,2023-05-15,28014,0
Bermuda,2023-05-15,18860,0
Bhutan,2023-05-15,62668,0
Bolivia,2023-05-15,1197983,0
Bonaire Sint Eustatius and Saba,2023-05-15,11909,0
Bosnia and Herzegovina,2023-05-15,402927,0
Botswana,2023-05-15,329862,0
Brazil,2023-05-15,37511921,0
British Virgin Islands,2023-05-15,7305,0
Brunei,2023-05-15,299505,0
Bulgaria,2023-05-15,1295312,0
Burkina Faso,2023-05-15,22056,0
Burundi,2023-05-15,53749,0
Cambodia,2023-05-15,138736,0
Cameroon,2023-05-15,125036,0
Canada,2023-05-15,4670563,0
Cape Verde,2023-05-15,63741,0
Cayman Islands,2023-05-15,31472,0
Central African Republic,2023-05-15,15367,0
Chad,2023-05-15,7698,0
Chile,2023-05-15,5286098,0
China,2023-05-15,99255557,0
Colombia,2023-05-15,6365994,0
Comoros,2023-05-15,9109,0
Congo,2023-05-15,25194,0
Cook Islands,2023-05-15,7079,0
Costa Rica,2023-05-15,1230552,0
Cote d'Ivoire,2023-05-15,88329,0
Croatia,2023-05-15,1273256,0
Cuba,2023-05-15,1113594,0
Curacao,2023-05-15,45812,0
Cyprus,2023-05-15,660854,0
Czechia,2023-05-15,4641422,0
Democratic Republic of Congo,2023-05-15,96652,0
Denmark,2023-05-15,3412926,0
Djibouti,2023-05-15,15690,0
Dominica,2023-05-15,15760,0
Dominican Republic,2023-05-15,661103,0
East Timor,2023-05-15,23442,0
Ecuador,2023-05-15,1062275,0
Egypt,2023-05-15,516023,0
El Salvador,2023-05-15,201785,0
Equatorial Guinea,2023-05-15,17130,0
Eritrea,2023-05-15,10189,0
Estonia,2023-05-15,600928,0
Eswatini,2023-05-15,74728,0
Ethiopia,2023-05-15,500868,0
Europe,2023-05-15,248546077,0
European Union (27),2023-05-15,183366390,0
Falkland Islands,2023-05-15,1923,0
Faroe Islands,2023-05-15,34658,0
Fiji,2023-05-15,68921,0
Finland,2023-05-15,1479169,0
France,2023-05-15,38898196,0
French Guiana,2023-05-15,98041,0
French Polynesia,2023-05-15,78545,0
Gabon,2023-05-15,48992,0
Gambia,2023-05-15,12626,0
Georgia,2023-05-15,1842425,0
Germany,2023-05-15,38419325,0
Ghana,2023-05-15,171653,0
Gibraltar,2023-05-15,20550,0
Greece,2023-05-15,5310882,0
Greenland,2023-05-15,11971,0
Grenada,2023-05-15,19693,0
Guadeloupe,2023-05-15,202653,0
Guam,2023-05-15,51345,0
Guatemala,2023-05-15,1250268,0
Guernsey,2023-05-15,35326,0
Guinea,2023-05-15,38563,0
Guinea-Bissau,2023-05-15,9614,0
Guyana,2023-05-15,73207,0
Haiti,2023-05-15,34228,0
High-income countries,2023-05-15,421143471,0
Honduras,2023-05-15,472594,0
Hungary,2023-05-15,2202179,0
Iceland,2023-05-15,208630,0
India,2023-05-15,44980674,0
Indonesia,2023-05-15,6797336,0
Iran,2023-05-15,7610676,0
Iraq,2023-05-15,2465545,0
Ireland,2023-05-15,1711519,0
Isle of Man,2023-05-15,38008,0
Israel,2023-05-15,4824518,0
Italy,2023-05-15,25832513,0
Jamaica,2023-05-15,154874,0
Japan,2023-05-15,33803572,0
Jersey,2023-05-15,66391,0
Jordan,2023-05-15,1746997,0
Kazakhstan,2023-05-15,1502857,0
Kenya,2023-05-15,343074,0
Kiribati,2023-05-15,5025,0
Kosovo,2023-05-15,273878,0
Kuwait,2023-05-15,665885,0
Kyrgyzstan,2023-05-15,88777,0
Laos,2023-05-15,218098,0
Latvia,2023-05-15,975392,0
Lebanon,2023-05-15,1237556,0
Lesotho,2023-05-15,34490,0
Liberia,2023-05-15,8090,0
Libya,2023-05-15,507253,0
Liechtenstein,2023-05-15,21468,0
Lithuania,2023-05-15,1319483,0
Low-income countries,2023-05-15,1918914,0
Lower-middle-income countries,2023-05-15,91711728,0
Luxembourg,2023-05-15,382451,0
Madagascar,2023-05-15,68266,0
Malawi,2023-05-15,88638,0
Malaysia,2023-05-15,5079436,0
Maldives,2023-05-15,186589,0
Mali,2023-05-15,33147,0
Malta,2023-05-15,118620,0
Marshall Islands,2023-05-15,16081,0
Martinique,2023-05-15,229900,0
Mauritania,2023-05-15,63663,0
Mauritius,2023-05-15,304233,0
Mayotte,2023-05-15,42027,0
Mexico,2023-05-15,7608416,0
Micronesia (country),2023-05-15,26453,0
Moldova,2023-05-15,620519,0
Monaco,2023-05-15,16775,0
Mongolia,2023-05-15,1008265,0
Montenegro,2023-05-15,251194,0
Montserrat,2023-05-15,1403,0
Morocco,2023-05-15,1274180,0
Mozambique,2023-05-15,233417,0
Myanmar,2023-05-15,637249,0
Namibia,2023-05-15,171310,0
Nauru,2023-05-15,5393,0
Nepal,2023-05-15,1003222,0
Netherlands,2023-05-15,8614918,0
New Caledonia,2023-05-15,80058,0
New Zealand,2023-05-15,2272229,0
Nicaragua,2023-05-15,15713,0
Niger,2023-05-15,9513,0
Nigeria,2023-05-15,266675,0
Niue,2023-05-15,801,0
North America,2023-05-15,124296338,0
North Korea,2023-05-15,0,0
North Macedonia,2023-05-15,348294,0
Northern Mariana Islands,2023-05-15,13896,0
Norway,2023-05-15,1484471,0
Oceania,2023-05-15,14087556,0
Oman,2023-05-15,399449,0
Pakistan,2023-05-15,1580631,0
Palau,2023-05-15,6000,0
Palestine,2023-05-15,703228,0
Panama,2023-05-15,1037978,0
Papua New Guinea,2023-05-15,46864,0
Paraguay,2023-05-15,735759,0
Peru,2023-05-15,4505220,0
Philippines,2023-05-15,4113093,0
Pitcairn,2023-05-15,4,0
Poland,2023-05-15,6515619,0
Portugal,2023-05-15,5582122,0
Puerto Rico,2023-05-15,1235650,0
Qatar,2023-05-15,510979,0
Reunion,2023-05-15,494595,0
Romania,2023-05-15,3399977,0
Russia,2023-05-15,22898376,0
Rwanda,2023-05-15,133194,0
Saint Barthelemy,2023-05-15,5486,0
Saint Helena,2023-05-15,2166,0
Saint Kitts and Nevis,2023-05-15,6600,0
Saint Lucia,2023-05-15,30052,0
Saint Martin (French part),2023-05-15,12300,0
Saint Pierre and Miquelon,2023-05-15,3426,0
Saint Vincent and the Grenadines,2023-05-15,9631,0
Samoa,2023-05-15,16763,0
San Marino,2023-05-15,24245,0
Sao Tome and Principe,2023-05-15,6575,0
Saudi Arabia,2023-05-15,841469,0
Senegal,2023-05-15,88998,0
Serbia,2023-05-15,2538544,0
Seychelles,2023-05-15,50937,0
Sierra Leone,2023-05-15,7762,0
Singapore,2023-05-15,2414394,0
Sint Maarten (Dutch part),2023-05-15,11030,0
Slovakia,2023-05-15,1866647,0
Slovenia,2023-05-15,1343897,0
Solomon Islands,2023-05-15,21611,0
Somalia,2023-05-15,27334,0
South Africa,2023-05-15,4072533,0
South America,2023-05-15,68556461,0
South Korea,2023-05-15,31408102,0
South Sudan,2023-05-15,18368,0
Spain,2023-05-15,13930576,0
Sri Lanka,2023-05-15,672283,0
Sudan,2023-05-15,63993,0
Suriname,2023-05-15,82495,0
Sweden,2023-05-15,2708117,0
Switzerland,2023-05-15,4404342,0
Syria,2023-05-15,57423,0
Tajikistan,2023-05-15,17786,0
Tanzania,2023-05-15,43078,0
Thailand,2023-05-15,4736356,0
Togo,2023-05-15,39491,0
Tokelau,2023-05-15,5,0
Tonga,2023-05-15,16817,0
Trinidad and Tobago,2023-05-15,191496,0
Tunisia,2023-05-15,1153063,0
Turkey,2023-05-15,17004677,0
Turkmenistan,2023-05-15,0,0
Turks and Caicos Islands,2023-05-15,6588,0
Tuvalu,2023-05-15,2779,0
Uganda,2023-05-15,170775,0
Ukraine,2023-05-15,5507443,0
United Arab Emirates,2023-05-15,1065607,0
United Kingdom,2023-05-15,24607480,0
United States,2023-05-15,103436829,0
United States Virgin Islands,2023-05-15,24994,0
Upper-middle-income countries,2023-05-15,249643737,0
Uruguay,2023-05-15,1037893,0
Uzbekistan,2023-05-15,170631,0
Vanuatu,2023-05-15,12016,0
Vatican,2023-05-15,26,0
Venezuela,2023-05-15,552695,0
Vietnam,2023-05-15,11589567,0
Wallis and Futuna,2023-05-15,3427,0
World,2023-05-15,765586315,0
Yemen,2023-05-15,11945,0
Zambia,2023-05-15,343995,0
Zimbabwe,2023-05-15,264841,0
Afghanistan,2023-05-14,218739,1983
Africa,2023-05-14,13088051,2870
Albania,2023-05-14,334090,0
Algeria,2023-05-14,271813,48
American Samoa,2023-05-14,8331,0
Andorra,2023-05-14,48015,0
Angola,2023-05-14,105681,120
Anguilla,2023-05-14,3904,0
Antigua and Barbuda,2023-05-14,9106,0
Argentina,2023-05-14,10044957,0
Armenia,2023-05-14,449148,35
Aruba,2023-05-14,44180,0
Asia,2023-05-14,297011832,257911
Australia,2023-05-14,11327113,31859
Austria,2023-05-14,6071914,3061
Azerbaijan,2023-05-14,831648,108
Bahamas,2023-05-14,38084,0
Bahrain,2023-05-14,696614,0
Bangladesh,2023-05-14,2038478,140
Barbados,2023-05-14,107794,228
Belarus,2023-05-14,994037,0
