fecha,valor
2022-10-21,2682
2022-10-22,2682
2022-10-23,2682
2022-10-24,2522
2022-10-25,2494
2022-10-26,2568
2022-10-27,2589
2022-10-28,2590
2022-10-29,2590
2022-10-30,2590
2022-10-31,2625
2022-11-01,2583
2022-11-02,2569
2022-11-03,2590
2022-11-04,2569
2022-11-05,2569
2022-11-06,2569
2022-11-07,2543
2022-11-08,2487
2022-11-09,2524
2022-11-10,2484
2022-11-11,2484
2022-11-12,2484
2022-11-13,2484
2022-11-14,2427
2022-11-15,2381
2022-11-16,2330
2022-11-17,2385
2022-11-18,2424
2022-11-19,2439
2022-11-20,2439
2022-11-21,2427
2022-11-22,2425
2022-11-23,2409
2022-11-24,2406
2022-11-25,2370
2022-11-26,2370
2022-11-27,2370
2022-11-28,2378
2022-11-29,2331
2022-11-30,2230
2022-12-01,2207
2022-12-02,2245
2022-12-03,2245
2022-12-04,2245
2022-12-05,2297
2022-12-06,2386
2022-12-07,2326
2022-12-08,2317
2022-12-09,2343
2022-12-10,2343
2022-12-11,2343
2022-12-12,2271
2022-12-13,2230
2022-12-14,2242
2022-12-15,2221
2022-12-16,2175
2022-12-17,2175
2022-12-18,2175
2022-12-19,2147
2022-12-20,2124
2022-12-21,2080
2022-12-22,2097
2022-12-23,2183
2022-12-24,2183
2022-12-25,2183
2022-12-26,2183
2022-12-27,2154
2022-12-28,2154
2022-12-29,2160
2022-12-30,2213
2022-12-31,2213
2023-01-01,2213
2023-01-02,2213
2023-01-03,2153
2023-01-04,2089
2023-01-05,2118
2023-01-06,2094
2023-01-07,2094
2023-01-08,2094
2023-01-09,2079
2023-01-10,2059
2023-01-11,1996
2023-01-12,1994
2023-01-13,1980
2023-01-14,1980
2023-01-15,1980
2023-01-16,1980
2023-01-17,1881
2023-01-18,1807
2023-01-19,1938
2023-01-20,1876
2023-01-21,1876
2023-01-22,1876
2023-01-23,1843
2023-01-24,1825
2023-01-25,1834
2023-01-26,1837
2023-01-27,1826
2023-01-28,1826
2023-01-29,1826
2023-01-30,1806
2023-01-31,1817
2023-02-01,1820
2023-02-02,1795
2023-02-03,1845
2023-02-04,1845
2023-02-05,1845
2023-02-06,1912
2023-02-07,1907
2023-02-08,1912
2023-02-09,1928
2023-02-10,1962
2023-02-11,1962
2023-02-12,1962
2023-02-13,1966
2023-02-14,1968
2023-02-15,1997
2023-02-16,2056
2023-02-17,2123
2023-02-18,2123
2023-02-19,2123
2023-02-20,2123
2023-02-21,2183
2023-02-22,2127
2023-02-23,1974
2023-02-24,1996
2023-02-25,1996
2023-02-26,1996
2023-02-27,1966
2023-02-28,1958
2023-03-01,2036
2023-03-02,2088
2023-03-03,2081
2023-03-04,2081
2023-03-05,2081
2023-03-06,2047
2023-03-07,2044
2023-03-08,2098
2023-03-09,2134
2023-03-10,2207
2023-03-11,2207
2023-03-12,2207
2023-03-13,2323
2023-03-14,2293
2023-03-15,2397
2023-03-16,2324
2023-03-17,2383
2023-03-18,2383
2023-03-19,2383
2023-03-20,2383
2023-03-21,2335
2023-03-22,2458
2023-03-23,2497
2023-03-24,2549
2023-03-25,2549
2023-03-26,2549
2023-03-27,2531
2023-03-28,2521
2023-03-29,2365
2023-03-30,2304
2023-03-31,2276
2023-04-01,2276
2023-04-02,2276
2023-04-03,2280
2023-04-04,2351
2023-04-05,2432
2023-04-06,2472
2023-04-07,2472
2023-04-08,2472
2023-04-09,2472
2023-04-10,2429
2023-04-11,2440
2023-04-12,2385
2023-04-13,2376
2023-04-14,2352
2023-04-15,2410
2023-04-16,2410
2023-04-17,2407
2023-04-18,2474
2023-04-19,2581
2023-04-20,2617
2023-04-21,2622
2023-04-22,2622
2023-04-23,2622
2023-04-24,2624
2023-04-25,2648
2023-04-26,2640
2023-04-27,2657
