fecha,valor
2008-03-19,551
2008-03-20,551
2008-03-24,532
2008-03-25,535
2008-03-26,555
2008-03-27,551
2008-03-28,559
2008-03-31,581
2008-04-01,561
2008-04-02,543
2008-04-03,530
2008-04-04,530
2008-04-07,529
2008-04-08,536
2008-04-09,544
2008-04-10,542
2008-04-11,558
2008-04-14,553
2008-04-15,550
2008-04-16,546
2008-04-17,557
2008-04-18,545
2008-04-21,560
2008-04-22,583
2008-04-23,576
2008-04-24,565
2008-04-25,589
2008-04-28,580
2008-04-29,584
2008-04-30,563
2008-05-01,547
2008-05-02,548
2008-05-05,543
2008-05-06,546
2008-05-07,570
2008-05-08,570
2008-05-09,573
2008-05-12,580
2008-05-13,566
2008-05-14,559
2008-05-15,556
2008-05-16,552
2008-05-19,538
2008-05-20,544
2008-05-21,542
2008-05-22,541
2008-05-23,559
2008-05-27,556
2008-05-28,548
2008-05-29,535
2008-05-30,535
2008-06-02,542
2008-06-03,549
2008-06-04,528
2008-06-05,526
2008-06-06,547
2008-06-09,543
2008-06-10,542
2008-06-11,535
2008-06-12,535
2008-06-13,541
2008-06-16,555
2008-06-17,575
2008-06-18,568
2008-06-19,561
2008-06-20,581
2008-06-23,572
2008-06-24,582
2008-06-25,581
2008-06-26,606
2008-06-27,614
2008-06-30,614
2008-07-01,629
2008-07-02,638
2008-07-03,622
2008-07-07,627
2008-07-08,635
2008-07-09,644
2008-07-10,651
2008-07-11,658
2008-07-14,665
2008-07-15,668
2008-07-16,657
2008-07-17,636
2008-07-18,599
2008-07-21,594
2008-07-22,601
2008-07-23,586
2008-07-24,609
2008-07-25,609
2008-07-28,624
2008-07-29,613
2008-07-30,608
2008-07-31,612
2008-08-01,625
2008-08-04,635
2008-08-05,637
2008-08-06,643
2008-08-07,684
2008-08-08,729
2008-08-11,668
2008-08-12,672
2008-08-13,657
2008-08-14,656
2008-08-15,664
2008-08-18,672
2008-08-19,672
2008-08-20,677
2008-08-21,681
2008-08-22,675
2008-08-25,685
2008-08-26,680
2008-08-27,678
2008-08-28,676
2008-08-29,671
2008-09-02,678
2008-09-03,698
2008-09-04,713
2008-09-05,722
2008-09-08,708
2008-09-09,743
2008-09-10,742
2008-09-11,754
2008-09-12,764
2008-09-15,825
2008-09-16,876
2008-09-17,930
2008-09-18,891
2008-09-19,806
2008-09-22,769
2008-09-23,785
2008-09-24,814
2008-09-25,826
2008-09-26,852
2008-09-29,924
2008-09-30,953
2008-10-01,1005
2008-10-02,1099
2008-10-03,1040
2008-10-06,1161
2008-10-07,1232
2008-10-08,1294
2008-10-09,1284
2008-10-10,1358
2008-10-14,1242
2008-10-15,1334
2008-10-16,1372
2008-10-17,1364
2008-10-20,1385
2008-10-21,1627
2008-10-22,1905
2008-10-23,1878
2008-10-24,1843
2008-10-27,1841
2008-10-28,1897
2008-10-29,1894
2008-10-30,1892
2008-10-31,1787
2008-11-03,1664
2008-11-04,1625
2008-11-05,1714
2008-11-06,1711
2008-11-07,1711
2008-11-10,1707
2008-11-12,1751
2008-11-13,1899
2008-11-14,1965
2008-11-17,1835
2008-11-18,1835
2008-11-19,1865
2008-11-20,1912
2008-11-21,1909
2008-11-24,1845
2008-11-25,1828
2008-11-26,1720
2008-11-28,1722
2008-12-01,1777
2008-12-02,1806
2008-12-03,1815
2008-12-04,1858
2008-12-05,1849
2008-12-08,1799
2008-12-09,1842
2008-12-10,1833
2008-12-11,1836
2008-12-12,1906
2008-12-15,1960
2008-12-16,1946
2008-12-17,1846
2008-12-18,1894
2008-12-19,1842
2008-12-22,1822
2008-12-23,1817
2008-12-24,1817
2008-12-26,1817
2008-12-29,1742
2008-12-30,1705
2008-12-31,1704
2009-01-02,1681
2009-01-05,1637
2009-01-06,1572
